Product Name,Matched Name,Product URL,Image URL,Category,Description,Key Ingredients,All Ingredients,Usage Directions,Skin Types,Match Type
Boss Gal Courtesy Kit,,,,,,,,,,missing
Kathy's Birthday Bag,,,,,,,,,,missing
Backbar Balancing Cleansing Emulsion,Balancing Cleansing Emulsion,https://zoskinhealth.com/us/balancing-cleansing-emulsion-gbl-full-size-916100.html,https://zoskinhealth.com/dw/image/v2/BJWC_PRD/on/demandware.static/-/Sites-zoskinhealth-master/default/dwfe440920/images/Balancing%20Cleansing%20Emulsion/bce.full.plp.gbl.png?sw=520&q=65,Cleanser,"A clinically proven, conditioning gel-to-milk cleanser that supports the protective skin barrier leaving even sensitized skin soothed, supple and strong. Fragrance-, dye- and sulfate-free. Can be used as a pre-cleanse to thoroughly remove heavy makeup or tenacious sunscreen on non-sensitized skin followed by a ZO® water-soluble cleanser: Gentle Cleanser, Exfoliating Cleanser or Hydrating Cleanser. Awarded a Seal of Acceptance by the National Eczema Association.","Light Emollients: Skin-mimetic blend that conditions + supports the lipid barrier to deliver a supple, comfortable cleanse; Sugar-Derived Emulsifying Surfactants: Ultra mild, non-foaming cleansers with a light feel that lift oil + impurities without disrupting the skin barrier; Bisabolol + Oat Kernel Extract: Powerful soothers that help to visibly calm reddened + itchy skin and mitigate reactivity","Ethylhexyl Palmitate, Caprylic/Capric Triglyceride, Glycerin, C12-15 Alkyl Benzoate, Aqua/Water/Eau, Sucrose Laurate, Sucrose Stearate, Avena Sativa (Oat) Kernel Extract, Caprylyl Glycol, Bisabolol, Phospholipids, Methyl Glucose Dioleate, Sucrose Palmitate, Polysorbate 20, 1,2-Hexanediol, Potassium Sorbate.",Apply to dry skin AM + PM. Massage around face + eyes. | Gel formula will begin to melt on contact and dissolve makeup + impurities. | Apply water to transform the cleanser into an easy-to-rinse milky emulsion. Rinse thoroughly.,"Normal to Sensitized Skin, Post-Treatment",fuzzy (0.75)
Backbar Body Emulsion,,,,,,,,,,missing
Backbar Daily Power Defense,,,,,,,,,,missing
Backbar Enzymatic Peel,,,,,,,,,,missing
Backbar Exfoliating Polish,,,,,,,,,,missing
Backbar Gentle Cleanser,,,,,,,,,,missing
Backbar Growth factor,,,,,,,,,,missing
Travel Dual Action Scrub,,,,,,,,,,missing
Travel Exfoliating Cleanser,Exfoliating Cleanser,https://zoskinhealth.com/us/exfoliating-cleanser-gbl-full-size-962000.html,https://zoskinhealth.com/dw/image/v2/BJWC_PRD/on/demandware.static/-/Sites-zoskinhealth-master/default/dwd0c48db3/images/EXFOLIATING%20CLEANSER/exf.cleanser.full.plp.gbl.png?sw=520&q=65,Cleanser,Clears away surface oil and impurities without leaving skin feeling stripped or dry,"Jojoba esters: Round, biodegradable beads gently exfoliate away dead skin cells that can clog pores; Salicylic Acid: Penetrates deep into pores to clear debris; Vitamin E beads: Burst on application to provide nourishing antioxidant benefit","Aqua/Water/Eau, Sodium Laureth Sulfate, Acrylates Copolymer, Jojoba Esters, Glycerin,Cocamidopropyl Betaine, Mannitol, Cellulose, Spiraea Ulmaria Extract, Disodium Cocoamphodiacetate, Cocamidopropyl Hydroxysultaine, Tocopheryl Acetate, Niacin, Niacinamide, Caprylyl Glycol, Laureth-2, Hexylene Glycol, Sodium Sulfate, Disodium EDTA, Ammonium Lactate, Salicylic Acid, Hydroxypropyl Methylcellulose, Sodium PCA,Biosaccharide Gum-1, Butylene Glycol, Sodium Chloride, Sodium Hydroxide, Phenoxyethanol, Ethylhexylglycerin, Benzoic Acid, Fragrance/Parfum, Chromium Hydroxide Green (CI 77289), Citronellol, Hexyl Cinnamal, Limonene, Linalool. We are continually innovating and adapting to new regulations. As a result, depending on when and where the product was purchased, the ingredient lists on this website may differ from product packaging. Please refer to your product packaging for ingredient information specific to your product.",Massage a small amount on damp face and neck. Rinse thoroughly. Have questions on the recommended order to apply your ZO® products? Contact your local physician or use our live chat to speak to a ZO® Skincare Specialist for more information.,Oily + Blemish-Prone Skin,fuzzy (0.70)
Travel Exfoliating Polish,,,,,,,,,,missing
Travel Gentle Cleanser,,,,,,,,,,missing
Travel Hydrating Cleanser,,,,,,,,,,missing
10% Vitamin C,,,,,,,,,,missing
Accelerated Brightalive Serum,,,,,,,,,,missing
Accelerated Firming Serum,,,,,,,,,,missing
Accelerated Rozatrol Serum,,,,,,,,,,missing
Acne Control,,,,,,,,,,missing
Anti-Aging Program Kit,Anti-Aging Program,https://zoskinhealth.com/us/anti-aging-program-kit-gbl-kit-973310.html,https://zoskinhealth.com/dw/image/v2/BJWC_PRD/on/demandware.static/-/Sites-zoskinhealth-master/default/dwbd3ae5d6/images/ANTI%20AGING%20PROGRAM/aa.kit.box.plp.gbl1.png?sw=520&q=65,programs-kits,A moderate skincare program for the reduction of early or significant signs of environmental and chronological aging. Product Regimen: Exfoliating Cleanser - 60 mL / 2 Fl. Oz. (Travel Size) Exfoliating Polish - 16.2 g / 0.57 Oz. (Travel Size) Complexion Renewal Pads - 30 Pads (Travel Size) Daily Power Defense - 30 mL / 1 Fl. Oz. (Travel Size) Growth Factor Serum - 30 mL / 1 Fl. Oz. (Full Size),,,,"All Skin Types, Anti-Aging",fuzzy (0.91)
