dataset,task,split,sample_id,label,image_path,mask_path,source_image,source_mask
acne04,classification,val,levle0_1,0,processed/acne_classification/images/val/class_0/levle0_1.jpg,,raw/acne_1024/all_1024/levle0_1.jpg,
acne04,classification,val,levle0_10,0,processed/acne_classification/images/val/class_0/levle0_10.jpg,,raw/acne_1024/all_1024/levle0_10.jpg,
acne04,classification,train,levle0_100,0,processed/acne_classification/images/train/class_0/levle0_100.jpg,,raw/acne_1024/all_1024/levle0_100.jpg,
acne04,classification,train,levle0_101,0,processed/acne_classification/images/train/class_0/levle0_101.jpg,,raw/acne_1024/all_1024/levle0_101.jpg,
acne04,classification,train,levle0_102,0,processed/acne_classification/images/train/class_0/levle0_102.jpg,,raw/acne_1024/all_1024/levle0_102.jpg,
acne04,classification,train,levle0_103,0,processed/acne_classification/images/train/class_0/levle0_103.jpg,,raw/acne_1024/all_1024/levle0_103.jpg,
acne04,classification,train,levle0_104,0,processed/acne_classification/images/train/class_0/levle0_104.jpg,,raw/acne_1024/all_1024/levle0_104.jpg,
acne04,classification,train,levle0_105,0,processed/acne_classification/images/train/class_0/levle0_105.jpg,,raw/acne_1024/all_1024/levle0_105.jpg,
acne04,classification,val,levle0_106,0,processed/acne_classification/images/val/class_0/levle0_106.jpg,,raw/acne_1024/all_1024/levle0_106.jpg,
acne04,classification,train,levle0_107,0,processed/acne_classification/images/train/class_0/levle0_107.jpg,,raw/acne_1024/all_1024/levle0_107.jpg,
acne04,classification,train,levle0_108,0,processed/acne_classification/images/train/class_0/levle0_108.jpg,,raw/acne_1024/all_1024/levle0_108.jpg,
acne04,classification,train,levle0_109,0,processed/acne_classification/images/train/class_0/levle0_109.jpg,,raw/acne_1024/all_1024/levle0_109.jpg,
acne04,classification,val,levle0_11,0,processed/acne_classification/images/val/class_0/levle0_11.jpg,,raw/acne_1024/all_1024/levle0_11.jpg,
acne04,classification,val,levle0_110,0,processed/acne_classification/images/val/class_0/levle0_110.jpg,,raw/acne_1024/all_1024/levle0_110.jpg,
acne04,classification,train,levle0_111,0,processed/acne_classification/images/train/class_0/levle0_111.jpg,,raw/acne_1024/all_1024/levle0_111.jpg,
