dataset,task,split,sample_id,label,image_path,mask_path,source_image,source_mask
isic_2018_task1_2,segmentation,train,ISIC_0000000,lesion,processed/isic_segmentation/images/train/ISIC_0000000.jpg,processed/isic_segmentation/masks/train/ISIC_0000000.png,raw/isic/images/ISIC_0000000.jpg,raw/isic/masks/ISIC_0000000_segmentation.png
isic_2018_task1_2,segmentation,test,ISIC_0000001,lesion,processed/isic_segmentation/images/test/ISIC_0000001.jpg,processed/isic_segmentation/masks/test/ISIC_0000001.png,raw/isic/images/ISIC_0000001.jpg,raw/isic/masks/ISIC_0000001_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000003,lesion,processed/isic_segmentation/images/val/ISIC_0000003.jpg,processed/isic_segmentation/masks/val/ISIC_0000003.png,raw/isic/images/ISIC_0000003.jpg,raw/isic/masks/ISIC_0000003_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000004,lesion,processed/isic_segmentation/images/train/ISIC_0000004.jpg,processed/isic_segmentation/masks/train/ISIC_0000004.png,raw/isic/images/ISIC_0000004.jpg,raw/isic/masks/ISIC_0000004_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000006,lesion,processed/isic_segmentation/images/train/ISIC_0000006.jpg,processed/isic_segmentation/masks/train/ISIC_0000006.png,raw/isic/images/ISIC_0000006.jpg,raw/isic/masks/ISIC_0000006_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000007,lesion,processed/isic_segmentation/images/train/ISIC_0000007.jpg,processed/isic_segmentation/masks/train/ISIC_0000007.png,raw/isic/images/ISIC_0000007.jpg,raw/isic/masks/ISIC_0000007_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000008,lesion,processed/isic_segmentation/images/train/ISIC_0000008.jpg,processed/isic_segmentation/masks/train/ISIC_0000008.png,raw/isic/images/ISIC_0000008.jpg,raw/isic/masks/ISIC_0000008_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000009,lesion,processed/isic_segmentation/images/train/ISIC_0000009.jpg,processed/isic_segmentation/masks/train/ISIC_0000009.png,raw/isic/images/ISIC_0000009.jpg,raw/isic/masks/ISIC_0000009_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000011,lesion,processed/isic_segmentation/images/train/ISIC_0000011.jpg,processed/isic_segmentation/masks/train/ISIC_0000011.png,raw/isic/images/ISIC_0000011.jpg,raw/isic/masks/ISIC_0000011_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000012,lesion,processed/isic_segmentation/images/val/ISIC_0000012.jpg,processed/isic_segmentation/masks/val/ISIC_0000012.png,raw/isic/images/ISIC_0000012.jpg,raw/isic/masks/ISIC_0000012_segmentation.png
isic_2018_task1_2,segmentation,test,ISIC_0000013,lesion,processed/isic_segmentation/images/test/ISIC_0000013.jpg,processed/isic_segmentation/masks/test/ISIC_0000013.png,raw/isic/images/ISIC_0000013.jpg,raw/isic/masks/ISIC_0000013_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000014,lesion,processed/isic_segmentation/images/train/ISIC_0000014.jpg,processed/isic_segmentation/masks/train/ISIC_0000014.png,raw/isic/images/ISIC_0000014.jpg,raw/isic/masks/ISIC_0000014_segmentation.png
isic_2018_task1_2,segmentation,test,ISIC_0000015,lesion,processed/isic_segmentation/images/test/ISIC_0000015.jpg,processed/isic_segmentation/masks/test/ISIC_0000015.png,raw/isic/images/ISIC_0000015.jpg,raw/isic/masks/ISIC_0000015_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000016,lesion,processed/isic_segmentation/images/train/ISIC_0000016.jpg,processed/isic_segmentation/masks/train/ISIC_0000016.png,raw/isic/images/ISIC_0000016.jpg,raw/isic/masks/ISIC_0000016_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000017,lesion,processed/isic_segmentation/images/train/ISIC_0000017.jpg,processed/isic_segmentation/masks/train/ISIC_0000017.png,raw/isic/images/ISIC_0000017.jpg,raw/isic/masks/ISIC_0000017_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000018,lesion,processed/isic_segmentation/images/train/ISIC_0000018.jpg,processed/isic_segmentation/masks/train/ISIC_0000018.png,raw/isic/images/ISIC_0000018.jpg,raw/isic/masks/ISIC_0000018_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000019,lesion,processed/isic_segmentation/images/val/ISIC_0000019.jpg,processed/isic_segmentation/masks/val/ISIC_0000019.png,raw/isic/images/ISIC_0000019.jpg,raw/isic/masks/ISIC_0000019_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000020,lesion,processed/isic_segmentation/images/train/ISIC_0000020.jpg,processed/isic_segmentation/masks/train/ISIC_0000020.png,raw/isic/images/ISIC_0000020.jpg,raw/isic/masks/ISIC_0000020_segmentation.png
isic_2018_task1_2,segmentation,test,ISIC_0000021,lesion,processed/isic_segmentation/images/test/ISIC_0000021.jpg,processed/isic_segmentation/masks/test/ISIC_0000021.png,raw/isic/images/ISIC_0000021.jpg,raw/isic/masks/ISIC_0000021_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000022,lesion,processed/isic_segmentation/images/train/ISIC_0000022.jpg,processed/isic_segmentation/masks/train/ISIC_0000022.png,raw/isic/images/ISIC_0000022.jpg,raw/isic/masks/ISIC_0000022_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000023,lesion,processed/isic_segmentation/images/val/ISIC_0000023.jpg,processed/isic_segmentation/masks/val/ISIC_0000023.png,raw/isic/images/ISIC_0000023.jpg,raw/isic/masks/ISIC_0000023_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000024,lesion,processed/isic_segmentation/images/train/ISIC_0000024.jpg,processed/isic_segmentation/masks/train/ISIC_0000024.png,raw/isic/images/ISIC_0000024.jpg,raw/isic/masks/ISIC_0000024_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000025,lesion,processed/isic_segmentation/images/train/ISIC_0000025.jpg,processed/isic_segmentation/masks/train/ISIC_0000025.png,raw/isic/images/ISIC_0000025.jpg,raw/isic/masks/ISIC_0000025_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000026,lesion,processed/isic_segmentation/images/val/ISIC_0000026.jpg,processed/isic_segmentation/masks/val/ISIC_0000026.png,raw/isic/images/ISIC_0000026.jpg,raw/isic/masks/ISIC_0000026_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000027,lesion,processed/isic_segmentation/images/train/ISIC_0000027.jpg,processed/isic_segmentation/masks/train/ISIC_0000027.png,raw/isic/images/ISIC_0000027.jpg,raw/isic/masks/ISIC_0000027_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000028,lesion,processed/isic_segmentation/images/val/ISIC_0000028.jpg,processed/isic_segmentation/masks/val/ISIC_0000028.png,raw/isic/images/ISIC_0000028.jpg,raw/isic/masks/ISIC_0000028_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000029,lesion,processed/isic_segmentation/images/train/ISIC_0000029.jpg,processed/isic_segmentation/masks/train/ISIC_0000029.png,raw/isic/images/ISIC_0000029.jpg,raw/isic/masks/ISIC_0000029_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000030,lesion,processed/isic_segmentation/images/train/ISIC_0000030.jpg,processed/isic_segmentation/masks/train/ISIC_0000030.png,raw/isic/images/ISIC_0000030.jpg,raw/isic/masks/ISIC_0000030_segmentation.png
isic_2018_task1_2,segmentation,test,ISIC_0000031,lesion,processed/isic_segmentation/images/test/ISIC_0000031.jpg,processed/isic_segmentation/masks/test/ISIC_0000031.png,raw/isic/images/ISIC_0000031.jpg,raw/isic/masks/ISIC_0000031_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000032,lesion,processed/isic_segmentation/images/train/ISIC_0000032.jpg,processed/isic_segmentation/masks/train/ISIC_0000032.png,raw/isic/images/ISIC_0000032.jpg,raw/isic/masks/ISIC_0000032_segmentation.png
isic_2018_task1_2,segmentation,test,ISIC_0000034,lesion,processed/isic_segmentation/images/test/ISIC_0000034.jpg,processed/isic_segmentation/masks/test/ISIC_0000034.png,raw/isic/images/ISIC_0000034.jpg,raw/isic/masks/ISIC_0000034_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000035,lesion,processed/isic_segmentation/images/train/ISIC_0000035.jpg,processed/isic_segmentation/masks/train/ISIC_0000035.png,raw/isic/images/ISIC_0000035.jpg,raw/isic/masks/ISIC_0000035_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000036,lesion,processed/isic_segmentation/images/train/ISIC_0000036.jpg,processed/isic_segmentation/masks/train/ISIC_0000036.png,raw/isic/images/ISIC_0000036.jpg,raw/isic/masks/ISIC_0000036_segmentation.png
isic_2018_task1_2,segmentation,val,ISIC_0000037,lesion,processed/isic_segmentation/images/val/ISIC_0000037.jpg,processed/isic_segmentation/masks/val/ISIC_0000037.png,raw/isic/images/ISIC_0000037.jpg,raw/isic/masks/ISIC_0000037_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000038,lesion,processed/isic_segmentation/images/train/ISIC_0000038.jpg,processed/isic_segmentation/masks/train/ISIC_0000038.png,raw/isic/images/ISIC_0000038.jpg,raw/isic/masks/ISIC_0000038_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000039,lesion,processed/isic_segmentation/images/train/ISIC_0000039.jpg,processed/isic_segmentation/masks/train/ISIC_0000039.png,raw/isic/images/ISIC_0000039.jpg,raw/isic/masks/ISIC_0000039_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000040,lesion,processed/isic_segmentation/images/train/ISIC_0000040.jpg,processed/isic_segmentation/masks/train/ISIC_0000040.png,raw/isic/images/ISIC_0000040.jpg,raw/isic/masks/ISIC_0000040_segmentation.png
isic_2018_task1_2,segmentation,train,ISIC_0000041,lesion,processed/isic_segmentation/images/train/ISIC_0000041.jpg,processed/isic_segmentation/masks/train/ISIC_0000041.png,raw/isic/images/ISIC_0000041.jpg,raw/isic/masks/ISIC_0000041_segmentation.png
